City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Accuracy Score,Continent,Subdivision,latitude,longitude,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road %,Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Helsinki,Finland,"690,000",Infrastructure,City Wide,101.2,3.0,104%,96%,104.3,8.4,96,EU,,60.17,24.94,225,2146,0.559,2127,0.419,19,0.004,859,0.169,0.164,0.244,5074,12368,4779,19304,0.3,16.4,14.8,12.1,,6
Helsinki,Finland,"690,000",Infrastructure,Best Area,104.2,0.4,105%,95%,104.6,10.0,96,EU,,60.17,24.94,269,2420,0.55,2401,0.404,19,0.003,965,0.163,0.171,0.259,5939,13337,5125,20799,0.3,17.3,16.2,14.9,,6
Helsinki,Finland,"690,000",Balanced,City Wide,97.1,2.2,104%,96%,99.4,8.4,96,EU,,60.17,24.94,225,2146,0.559,2128,0.42,19,0.004,859,0.169,0.164,0.243,5070,12467,4818,19448,0.3,16.3,14.8,12.1,,6
Helsinki,Finland,"690,000",Balanced,Best Area,99.3,0.3,105%,95%,99.6,10.0,96,EU,,60.17,24.94,269,2420,0.55,2401,0.404,19,0.003,965,0.163,0.171,0.259,5939,13337,5125,20799,0.3,17.3,16.2,14.9,,6
Helsinki,Finland,"690,000",Destination,City Wide,92.8,1.4,104%,96%,94.3,8.4,96,EU,,60.17,24.94,225,2146,0.559,2128,0.42,19,0.004,859,0.169,0.164,0.243,5070,12467,4818,19448,0.3,16.3,14.8,12.1,,5
Helsinki,Finland,"690,000",Destination,Best Area,94.2,0.2,105%,95%,94.4,10.0,96,EU,,60.17,24.94,269,2420,0.55,2401,0.404,19,0.003,965,0.163,0.171,0.259,5939,13337,5125,20799,0.3,17.3,16.2,14.9,,5
Espoo,Finland,"300,000",Infrastructure,City Wide,98.6,4.0,104%,96%,102.7,7.9,95,EU,,60.20,24.66,196,1810,0.559,1794,0.41,17,0.004,716,0.164,0.163,0.26,4376,10910,4468,17108,0.3,15.9,13.9,11.5,,
Espoo,Finland,"300,000",Infrastructure,Best Area,102.6,0.8,104%,95%,103.4,9.0,95,EU,,60.20,24.66,246,2191,0.549,2172,0.398,20,0.004,882,0.162,0.168,0.269,5457,12804,5142,20066,0.3,17.3,15.7,13.4,,
Espoo,Finland,"300,000",Balanced,City Wide,94.7,3.5,104%,96%,98.3,7.9,95,EU,,60.20,24.66,197,1810,0.559,1793,0.41,17,0.004,716,0.163,0.163,0.26,4376,10907,4466,17104,0.3,15.9,13.9,11.5,,
Espoo,Finland,"300,000",Balanced,Best Area,98.2,0.6,104%,95%,98.8,9.0,95,EU,,60.20,24.66,246,2193,0.549,2173,0.399,20,0.004,883,0.162,0.168,0.268,5450,12813,5146,20081,0.3,17.3,15.8,13.5,,
