City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road (miles),Shared Road %,Other (miles),Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Helsinki,Finland,690000.0,Infrastructure,City Wide,101.3,2.9,104%,95%,104.2,8.5,227.0,2156.0,0.559,2138.0,0.419,,0.004,863.0,0.169,840.70,0.165,1245.3,,5105.0,12444.0,4807.0,19419.0,0.3,16.4,14.8,12.2,,6.0
Helsinki,Finland,690000.0,Infrastructure,Best Area,104.2,0.4,105%,95%,104.6,10.0,270.0,2418.0,0.55,2399.0,0.403,,0.003,964.0,0.162,,0.171,1548.0,,5946.0,13336.0,5124.0,20798.0,0.3,17.4,16.1,14.7,,6.0
Helsinki,Finland,690000.0,Balanced,City Wide,97.2,2.1,104%,95%,99.4,8.5,227.0,2156.0,0.559,2138.0,0.419,,0.004,863.0,0.169,840.70,0.165,1245.3,,5105.0,12444.0,4807.0,19419.0,0.3,16.4,14.8,12.2,,6.0
Helsinki,Finland,690000.0,Balanced,Best Area,99.3,0.3,105%,95%,99.6,10.0,270.0,2418.0,0.55,2399.0,0.403,,0.003,964.0,0.162,,0.171,1548.0,,5946.0,13336.0,5124.0,20798.0,0.3,17.4,16.1,14.7,,6.0
Helsinki,Finland,690000.0,Destination,City Wide,92.8,1.4,104%,95%,94.3,8.5,227.0,2156.0,0.559,2138.0,0.419,,0.004,863.0,0.169,840.70,0.165,1245.3,,5105.0,12444.0,4807.0,19419.0,0.3,16.4,14.8,12.2,,
Helsinki,Finland,690000.0,Destination,Best Area,94.2,0.2,105%,95%,94.4,10.0,270.0,2418.0,0.55,2399.0,0.403,,0.003,964.0,0.162,,0.171,1548.0,,5946.0,13336.0,5124.0,20798.0,0.3,17.4,16.1,14.7,,
Paris,France,2731613.0,Infrastructure,City Wide,89.4,1.1,93%,107%,90.6,-13.6,138.0,830.0,,643.0,,188.0,0.063,1267.0,0.423,653.70,0.218,,,2996.0,62458.0,16050.0,84856.0,,14.3,9.8,8.8,,-8.0
Paris,France,2731613.0,Infrastructure,Best Area,90.5,0.5,93%,107%,91.0,-13.1,150.0,888.0,,689.0,,198.0,0.061,1328.0,0.409,776.60,0.239,,,3247.0,63831.0,16344.0,86880.0,,15.4,,,,-11.0
Paris,France,2731613.0,Balanced,City Wide,96.4,0.8,93%,107%,97.3,-13.6,138.0,830.0,,643.0,,188.0,0.063,1267.0,0.423,653.70,0.218,,,2996.0,62458.0,16050.0,84856.0,,14.3,9.8,8.8,,
Paris,France,2731613.0,Balanced,Best Area,97.2,0.4,93%,107%,97.6,-13.1,150.0,888.0,,689.0,,198.0,0.061,1328.0,0.409,776.60,0.239,,,3247.0,63831.0,16344.0,86880.0,,15.4,,,,
